sample,test.result.1,test.result.2,test.result.3,conformity
P02.W43,y,y,y,TRUE
P02.W44,y,y,y,TRUE
P02.W45,y,y,y,TRUE
P02.W46,y,y,y,TRUE
P02.W47,y,y,y,TRUE
P02.W48,y,y,y,TRUE
P02.W50,y,y,y,TRUE
P02.W51,y,y,y,TRUE
P02.W52,y,y,y,TRUE
P02.W53,y,y,y,TRUE
P02.W54,y,y,y,TRUE
P02.W55,y,y,y,TRUE
P02.W56,y,y,y,TRUE
P02.W57,y,y,y,TRUE
P02.W58,y,y,y,TRUE
P02.W59,y,y,y,TRUE
P02.W60,y,y,y,TRUE
P02.W61,y,y,y,TRUE
P02.W62,y,y,y,TRUE
P02.W63,y,y,y,TRUE
P02.W64,y,y,y,TRUE
P02.W65,y,y,y,TRUE
P02.W66,y,y,y,TRUE
P02.W68,y,y,y,TRUE
P02.W69,y,y,y,TRUE
P02.W70,y,y,y,TRUE
P02.W71,y,y,y,TRUE
P02.W72,y,y,y,TRUE
P02.W73,y,y,y,TRUE
P02.W74,y,y,a,FALSE
P02.W75,y,y,y,TRUE
P02.W76,y,y,y,TRUE
P02.W77,y,y,y,TRUE
P02.W78,y,y,y,TRUE
P02.W79,y,y,y,TRUE
P02.W80,y,y,y,TRUE
P02.W81,y,y,y,TRUE
P02.W82,y,y,y,TRUE
P02.W83,y,y,y,TRUE
P02.W84,n,n,n,TRUE
P02.W85,y,y,y,TRUE
P02.W86,y,y,y,TRUE
P02.W88,y,y,y,TRUE
P02.W89,y,y,y,TRUE
P02.W90,y,y,y,TRUE
P02.W91,y,y,y,TRUE
P02.W92,y,y,y,TRUE
P02.W93,y,y,y,TRUE
P02.W95,y,y,y,TRUE
P02.W96,y,y,y,TRUE
P03.W01,y,y,y,TRUE
P03.W05,y,y,y,TRUE
P03.W06,y,y,y,TRUE
P03.W07,y,y,y,TRUE
P03.W08,y,y,y,TRUE
P03.W09,y,y,y,TRUE
P03.W10,y,y,y,TRUE
P03.W11,y,y,y,TRUE
P03.W13,y,y,y,TRUE
P03.W14,y,y,y,TRUE
P03.W15,y,y,y,TRUE
P03.W16,y,y,y,TRUE
P03.W17,y,y,y,TRUE
P03.W18,y,y,y,TRUE
P03.W19,y,y,y,TRUE
P03.W20,y,y,y,TRUE
P03.W21,y,y,y,TRUE
P03.W22,y,y,y,TRUE
P03.W23,y,y,y,TRUE
P03.W24,y,y,y,TRUE
P03.W25,y,y,y,TRUE
P03.W26,y,y,y,TRUE
P03.W27,y,y,y,TRUE
P03.W28,y,y,y,TRUE
P03.W29,y,y,y,TRUE
P03.W30,y,y,y,TRUE
P03.W31,y,y,y,TRUE
P03.W32,y,y,y,TRUE
P03.W33,y,y,y,TRUE
P03.W34,y,y,y,TRUE
P03.W35,y,y,y,TRUE
P03.W36,y,y,y,TRUE
P03.W39,y,y,y,TRUE
P03.W40,y,y,y,TRUE
P03.W41,y,y,y,TRUE
P03.W42,y,y,y,TRUE
P03.W43,y,y,y,TRUE
P03.W44,y,y,y,TRUE
P03.W45,y,y,y,TRUE
P03.W46,y,y,y,TRUE
P03.W47,y,y,y,TRUE
P03.W48,y,y,y,TRUE
P03.W49,y,y,y,TRUE
P03.W50,y,y,y,TRUE
P03.W51,y,y,y,TRUE
P03.W52,y,y,y,TRUE
P03.W53,y,y,y,TRUE
P03.W54,y,y,y,TRUE
P03.W55,y,y,y,TRUE
P03.W56,y,y,y,TRUE
P03.W57,y,y,y,TRUE
P03.W58,y,y,y,TRUE
P03.W59,y,y,y,TRUE
P03.W60,y,y,y,TRUE
P03.W61,y,y,y,TRUE
P03.W62,y,y,y,TRUE
P03.W63,y,y,y,TRUE
P03.W64,y,y,y,TRUE
P03.W65,y,y,y,TRUE
P03.W66,y,y,y,TRUE
P03.W67,y,y,y,TRUE
P03.W68,y,y,y,TRUE
P03.W69,y,y,y,TRUE
P03.W70,y,y,y,TRUE
P03.W71,y,y,y,TRUE
P03.W72,y,y,y,TRUE
P03.W73,y,y,y,TRUE
P03.W74,y,y,y,TRUE
P03.W75,y,y,y,TRUE
P03.W76,y,y,y,TRUE
P03.W77,y,y,a,FALSE
P03.W78,y,y,y,TRUE
P03.W79,y,y,a,FALSE
P03.W80,y,y,y,TRUE
P03.W81,y,y,y,TRUE
P03.W82,y,y,y,TRUE
P03.W83,y,y,y,TRUE
P03.W84,a,a,a,TRUE
P03.W85,y,a,y,FALSE
P03.W86,y,y,y,TRUE
P03.W88,y,y,y,TRUE
P03.W89,y,y,y,TRUE
P03.W90,y,y,y,TRUE
P03.W91,y,y,y,TRUE
P03.W92,y,y,y,TRUE
P03.W93,y,y,y,TRUE
P03.W94,y,y,y,TRUE
P03.W95,y,y,y,TRUE
P03.W96,y,y,y,TRUE
P04.W01,y,a,a,FALSE
P04.W02,y,y,y,TRUE
P04.W03,y,y,a,FALSE
P04.W04,y,y,a,FALSE
P04.W05,y,y,a,FALSE
P04.W06,y,y,y,TRUE
P04.W07,y,y,y,TRUE
P04.W08,y,y,y,TRUE
P04.W09,y,y,y,TRUE
P04.W10,y,a,a,FALSE
P04.W11,y,y,y,TRUE
P04.W12,y,a,a,FALSE
P04.W13,y,y,y,TRUE
P04.W14,y,y,y,TRUE
P04.W15,y,y,y,TRUE
P04.W16,y,y,y,TRUE
P04.W17,y,a,a,FALSE
P04.W18,y,a,a,FALSE
P04.W19,y,y,y,TRUE
P04.W20,y,y,y,TRUE
P04.W21,y,y,y,TRUE
P04.W22,y,y,y,TRUE
P04.W23,a,a,y,FALSE
P04.W24,y,y,a,FALSE
P04.W25,y,y,y,TRUE
P04.W26,y,y,y,TRUE
P04.W27,y,y,y,TRUE
P04.W28,a,a,y,FALSE
P04.W29,y,y,y,TRUE
P04.W30,y,a,y,FALSE
P04.W31,y,y,y,TRUE
P04.W32,y,y,y,TRUE
P04.W33,y,y,y,TRUE
P04.W34,y,y,y,TRUE
P04.W35,y,a,y,FALSE
P04.W36,y,y,a,FALSE
P04.W37,y,y,y,TRUE
P04.W38,y,a,y,FALSE
P04.W39,y,y,a,FALSE
P04.W40,y,y,y,TRUE
P04.W41,y,y,y,TRUE
P04.W42,y,y,y,TRUE
P04.W43,y,y,y,TRUE
P04.W44,y,y,y,TRUE
P04.W45,y,y,y,TRUE
P04.W46,y,y,y,TRUE
P04.W47,y,a,y,FALSE
P04.W48,y,y,y,TRUE
P04.W49,y,y,y,TRUE
P04.W50,a,a,a,TRUE
P04.W51,y,y,y,TRUE
P04.W52,y,y,a,FALSE
P04.W53,y,y,y,TRUE
P04.W54,y,y,y,TRUE
P04.W55,y,y,a,FALSE
P04.W56,y,y,y,TRUE
P04.W57,y,y,y,TRUE
P04.W58,y,y,y,TRUE
P04.W59,y,a,a,FALSE
P04.W60,y,y,y,TRUE
P04.W61,y,a,y,FALSE
P04.W62,y,a,y,FALSE
P04.W63,y,y,y,TRUE
P04.W64,y,y,y,TRUE
P04.W65,y,y,y,TRUE
P04.W66,y,y,y,TRUE
P04.W67,y,y,y,TRUE
P04.W68,y,y,y,TRUE
P04.W69,y,y,y,TRUE
P04.W70,y,y,y,TRUE
P04.W71,a,y,a,FALSE
P04.W72,y,y,y,TRUE
P04.W73,y,y,y,TRUE
P04.W74,y,y,y,TRUE
P04.W75,y,y,y,TRUE
P04.W76,y,y,y,TRUE
P04.W77,y,y,y,TRUE
P04.W78,y,y,y,TRUE
P04.W79,y,y,y,TRUE
P04.W80,y,y,a,FALSE
P04.W81,y,y,y,TRUE
P04.W82,y,y,a,FALSE
P04.W83,y,y,y,TRUE
P04.W84,n,a,a,FALSE
P04.W85,y,y,y,TRUE
P04.W86,y,y,y,TRUE
P04.W88,y,a,y,FALSE
P04.W89,y,y,y,TRUE
P04.W90,y,y,y,TRUE
P04.W91,y,y,y,TRUE
P04.W92,y,y,y,TRUE
P04.W93,y,y,y,TRUE
P04.W94,y,y,y,TRUE
P04.W95,y,y,y,TRUE
P04.W96,y,y,y,TRUE
P05.W01,y,y,y,TRUE
P05.W02,y,y,y,TRUE
P05.W03,y,y,y,TRUE
P05.W04,y,y,y,TRUE
P05.W05,y,y,y,TRUE
P05.W06,y,a,y,FALSE
P05.W07,y,y,y,TRUE
P05.W08,y,y,y,TRUE
P05.W09,y,y,y,TRUE
P05.W10,y,a,y,FALSE
P05.W11,y,y,y,TRUE
P05.W12,y,y,y,TRUE
P05.W13,y,a,y,FALSE
P05.W14,y,y,y,TRUE
P05.W15,y,y,y,TRUE
P05.W16,y,y,y,TRUE
P05.W17,y,y,a,FALSE
P05.W18,y,y,a,FALSE
P05.W19,y,y,y,TRUE
P05.W20,y,y,y,TRUE
P05.W21,y,y,y,TRUE
P05.W22,y,y,y,TRUE
P05.W23,y,y,y,TRUE
P05.W24,y,y,y,TRUE
P05.W25,y,y,y,TRUE
P05.W26,y,y,y,TRUE
P05.W27,y,y,y,TRUE
P05.W28,y,a,a,FALSE
P05.W29,y,y,y,TRUE
P05.W30,y,y,y,TRUE
P05.W31,y,y,y,TRUE
P05.W32,y,y,y,TRUE
P05.W33,y,y,y,TRUE
P05.W34,y,y,y,TRUE
P05.W35,y,y,y,TRUE
P05.W36,y,y,y,TRUE
P05.W37,y,y,y,TRUE
P05.W38,y,y,y,TRUE
P05.W39,y,y,y,TRUE
P05.W40,y,y,y,TRUE
P05.W41,y,y,y,TRUE
P05.W42,y,y,y,TRUE
P05.W43,y,y,y,TRUE
P05.W44,y,y,y,TRUE
P05.W45,y,y,y,TRUE
P05.W46,y,y,y,TRUE
P05.W47,y,y,y,TRUE
P05.W48,y,y,y,TRUE
P05.W49,y,y,y,TRUE
P05.W50,y,y,y,TRUE
P05.W51,y,y,y,TRUE
P05.W52,y,y,y,TRUE
P05.W53,y,y,y,TRUE
P05.W54,y,y,y,TRUE
P05.W55,y,y,y,TRUE
P05.W56,y,y,y,TRUE
P05.W57,y,y,y,TRUE
P05.W58,y,y,y,TRUE
P05.W59,y,y,y,TRUE
P05.W60,y,y,y,TRUE
P05.W61,y,y,y,TRUE
P05.W62,y,y,y,TRUE
P05.W63,y,y,y,TRUE
P05.W64,y,y,y,TRUE
P05.W65,y,y,y,TRUE
P05.W66,y,y,y,TRUE
P05.W67,y,y,y,TRUE
P05.W68,y,y,y,TRUE
P05.W69,y,y,y,TRUE
P05.W70,y,y,y,TRUE
P05.W71,y,a,y,FALSE
P05.W72,y,a,y,FALSE
P05.W73,y,y,y,TRUE
P05.W74,y,y,y,TRUE
P05.W75,y,y,y,TRUE
P05.W76,y,y,y,TRUE
P05.W77,y,y,y,TRUE
P05.W78,y,y,y,TRUE
P05.W79,y,y,y,TRUE
P05.W80,y,y,y,TRUE
P05.W81,y,y,y,TRUE
P05.W82,y,y,y,TRUE
P05.W83,y,y,y,TRUE
P05.W84,a,a,a,TRUE
P05.W85,y,y,y,TRUE
P05.W86,y,y,y,TRUE
P05.W87,y,y,y,TRUE
P05.W88,y,y,y,TRUE
P05.W89,y,y,y,TRUE
P05.W90,y,y,y,TRUE
P05.W91,y,y,y,TRUE
P05.W92,y,y,y,TRUE
P05.W93,y,y,y,TRUE
P05.W95,y,y,y,TRUE
P05.W96,y,y,y,TRUE
P06.W01,y,a,a,FALSE
P06.W02,a,a,a,TRUE
P06.W03,n,a,a,FALSE
P06.W04,a,y,a,FALSE
P06.W05,y,a,a,FALSE
P06.W06,a,a,a,TRUE
P06.W07,a,a,a,TRUE
P06.W08,y,a,a,FALSE
P06.W09,y,a,a,FALSE
P06.W10,n,a,a,FALSE
P06.W11,y,y,a,FALSE
P06.W12,n,a,a,FALSE
P06.W13,y,a,y,FALSE
P06.W14,a,a,a,TRUE
P06.W15,y,a,a,FALSE
P06.W16,a,a,a,TRUE
P06.W17,y,a,a,FALSE
P06.W18,a,a,a,TRUE
P06.W19,y,y,a,FALSE
P06.W20,y,a,a,FALSE
P06.W21,y,a,a,FALSE
P06.W22,y,a,a,FALSE
P06.W23,y,a,a,FALSE
P06.W24,y,a,a,FALSE
P06.W25,y,a,a,FALSE
P06.W26,y,a,a,FALSE
P06.W27,y,a,a,FALSE
P06.W28,n,a,a,FALSE
P06.W29,a,a,a,TRUE
P06.W30,a,a,y,FALSE
P06.W31,y,a,a,FALSE
P06.W32,y,a,a,FALSE
P06.W33,y,a,a,FALSE
P06.W34,y,a,y,FALSE
P06.W35,a,y,a,FALSE
P06.W36,y,a,a,FALSE
P06.W37,a,a,a,TRUE
P06.W38,n,a,a,FALSE
P06.W39,y,a,a,FALSE
P06.W40,a,a,a,TRUE
P06.W41,a,a,a,TRUE
P06.W42,y,a,a,FALSE
P06.W43,a,a,a,TRUE
P06.W44,y,a,a,FALSE
P06.W45,a,a,a,TRUE
P06.W46,a,a,a,TRUE
P06.W47,a,a,a,TRUE
P06.W48,y,a,a,FALSE
P06.W49,a,a,a,TRUE
P06.W50,y,a,a,FALSE
P06.W51,a,a,a,TRUE
P06.W52,y,a,a,FALSE
P06.W53,a,a,a,TRUE
P06.W54,y,a,a,FALSE
P06.W55,y,a,a,FALSE
P06.W56,a,a,a,TRUE
P06.W57,y,a,a,FALSE
P06.W58,a,a,a,TRUE
P06.W59,y,y,a,FALSE
P06.W60,y,a,a,FALSE
P06.W61,a,a,a,TRUE
P06.W62,a,a,a,TRUE
P06.W63,y,a,a,FALSE
P06.W64,a,a,a,TRUE
P06.W65,y,y,a,FALSE
P06.W66,y,y,a,FALSE
P06.W67,a,a,a,TRUE
P06.W68,y,a,y,FALSE
P06.W69,a,a,a,TRUE
P06.W70,a,a,a,TRUE
P06.W71,a,a,a,TRUE
P06.W72,a,a,y,FALSE
P06.W73,a,a,a,TRUE
P06.W74,a,y,a,FALSE
P06.W75,y,a,a,FALSE
P06.W76,y,a,a,FALSE
P06.W77,a,a,a,TRUE
P06.W78,a,a,a,TRUE
P06.W79,y,a,a,FALSE
P06.W80,y,a,a,FALSE
P06.W81,y,a,y,FALSE
P06.W82,y,y,a,FALSE
P06.W83,y,a,a,FALSE
P06.W84,a,a,a,TRUE
P06.W85,a,a,a,TRUE
P06.W86,y,a,a,FALSE
P06.W87,n,n,n,TRUE
P06.W88,y,a,y,FALSE
P06.W89,y,a,a,FALSE
P06.W90,y,a,a,FALSE
P06.W91,a,a,a,TRUE
P06.W92,a,a,a,TRUE
P06.W93,n,n,n,TRUE
P06.W94,y,a,a,FALSE
P06.W95,y,a,a,FALSE
P06.W96,a,a,a,TRUE
P07.W01,y,y,y,TRUE
P07.W02,y,y,y,TRUE
P07.W03,y,y,y,TRUE
P07.W04,y,y,y,TRUE
P07.W05,y,a,y,FALSE
P07.W06,y,a,a,FALSE
P07.W07,y,y,a,FALSE
P07.W08,y,y,y,TRUE
P07.W09,y,y,y,TRUE
P07.W10,y,y,a,FALSE
P07.W11,y,y,y,TRUE
P07.W12,y,y,y,TRUE
P07.W13,y,y,y,TRUE
P07.W14,y,y,y,TRUE
P07.W15,y,y,y,TRUE
P07.W16,y,y,y,TRUE
P07.W17,a,a,a,TRUE
P07.W18,y,y,a,FALSE
P07.W19,y,y,y,TRUE
P07.W20,y,y,y,TRUE
P07.W21,y,y,y,TRUE
P07.W22,y,y,y,TRUE
P07.W23,y,y,y,TRUE
P07.W24,y,y,y,TRUE
P07.W25,y,y,y,TRUE
P07.W26,y,y,y,TRUE
P07.W27,y,y,y,TRUE
P07.W28,y,y,a,FALSE
P07.W29,y,y,y,TRUE
P07.W30,y,a,y,FALSE
P07.W31,y,y,y,TRUE
P07.W32,y,y,y,TRUE
P07.W33,y,y,y,TRUE
P07.W34,y,y,y,TRUE
P07.W35,y,y,y,TRUE
P07.W36,y,y,y,TRUE
P07.W37,y,a,y,FALSE
P07.W38,y,y,y,TRUE
P07.W39,y,y,y,TRUE
P07.W40,y,y,y,TRUE
P07.W41,y,y,y,TRUE
P07.W42,y,y,y,TRUE
P07.W43,y,y,y,TRUE
P07.W44,y,y,y,TRUE
P07.W45,y,y,y,TRUE
P07.W46,y,y,a,FALSE
P07.W47,y,y,y,TRUE
P07.W48,y,y,a,FALSE
P07.W49,y,y,y,TRUE
P07.W50,y,a,y,FALSE
P07.W51,y,y,y,TRUE
P07.W52,y,y,y,TRUE
P07.W53,y,y,y,TRUE
P07.W54,y,y,y,TRUE
P07.W55,y,y,y,TRUE
P07.W56,y,y,y,TRUE
P07.W57,y,y,a,FALSE
P07.W58,y,y,y,TRUE
P07.W59,y,y,a,FALSE
P07.W60,y,y,y,TRUE
P07.W61,y,y,y,TRUE
P07.W62,y,y,y,TRUE
P07.W63,y,a,y,FALSE
P07.W64,y,y,y,TRUE
P07.W65,y,y,a,FALSE
P07.W66,y,y,y,TRUE
P07.W67,y,y,y,TRUE
P07.W68,y,y,y,TRUE
P07.W69,y,y,y,TRUE
P07.W70,y,y,y,TRUE
P07.W71,y,a,a,FALSE
P07.W72,y,y,y,TRUE
P07.W73,y,y,y,TRUE
P07.W74,y,y,y,TRUE
P07.W75,y,y,y,TRUE
P07.W76,y,y,y,TRUE
P07.W77,y,y,y,TRUE
P07.W78,y,y,y,TRUE
P07.W79,y,y,y,TRUE
P07.W80,y,y,y,TRUE
P07.W81,y,y,y,TRUE
P07.W82,y,y,y,TRUE
P07.W83,y,y,y,TRUE
P07.W84,a,a,a,TRUE
P07.W85,y,y,a,FALSE
P07.W86,y,y,y,TRUE
P07.W88,y,y,y,TRUE
P07.W89,y,y,y,TRUE
P07.W90,y,y,y,TRUE
P07.W91,y,y,y,TRUE
P07.W92,y,a,y,FALSE
P07.W93,y,y,y,TRUE
P07.W94,y,y,y,TRUE
P07.W95,y,y,y,TRUE
P07.W96,y,y,y,TRUE
P08.W01,y,y,y,TRUE
P08.W02,y,y,y,TRUE
P08.W03,y,y,a,FALSE
P08.W04,y,y,y,TRUE
P08.W05,y,y,y,TRUE
P08.W06,y,a,a,FALSE
P08.W07,y,y,y,TRUE
P08.W08,y,a,y,FALSE
P08.W09,y,y,y,TRUE
P08.W10,y,a,y,FALSE
P08.W11,y,y,y,TRUE
P08.W12,y,a,y,FALSE
P08.W13,y,y,a,FALSE
P08.W14,y,y,y,TRUE
P08.W15,y,y,y,TRUE
P08.W16,y,y,y,TRUE
P08.W17,a,y,a,FALSE
P08.W18,y,y,y,TRUE
P08.W19,y,y,y,TRUE
P08.W20,y,y,y,TRUE
P08.W21,y,y,y,TRUE
P08.W22,y,y,y,TRUE
P08.W23,y,y,y,TRUE
P08.W24,y,y,y,TRUE
P08.W25,y,y,y,TRUE
P08.W26,y,y,y,TRUE
P08.W27,y,y,y,TRUE
P08.W28,a,y,y,FALSE
P08.W29,y,y,y,TRUE
P08.W30,y,y,y,TRUE
P08.W31,y,y,y,TRUE
P08.W32,y,y,a,FALSE
P08.W33,y,y,y,TRUE
P08.W34,y,y,y,TRUE
P08.W35,y,y,y,TRUE
P08.W36,y,y,y,TRUE
P08.W37,y,y,y,TRUE
P08.W38,y,y,y,TRUE
P08.W39,y,y,y,TRUE
P08.W40,y,y,y,TRUE
P08.W41,y,y,y,TRUE
P08.W42,y,y,y,TRUE
P08.W43,y,y,y,TRUE
P08.W44,y,y,y,TRUE
P08.W45,y,y,y,TRUE
P08.W46,y,y,y,TRUE
P08.W47,y,y,y,TRUE
P08.W48,y,y,y,TRUE
P08.W49,y,y,y,TRUE
P08.W50,y,y,a,FALSE
P08.W51,y,y,y,TRUE
P08.W52,y,y,y,TRUE
P08.W53,y,y,y,TRUE
P08.W54,y,y,y,TRUE
P08.W55,y,y,y,TRUE
P08.W56,y,y,y,TRUE
P08.W57,y,y,y,TRUE
P08.W58,y,y,y,TRUE
P08.W59,y,y,y,TRUE
P08.W60,y,y,y,TRUE
P08.W61,y,y,y,TRUE
P08.W62,y,y,y,TRUE
P08.W63,y,y,y,TRUE
P08.W64,y,y,y,TRUE
P08.W65,y,y,y,TRUE
P08.W66,y,y,y,TRUE
P08.W67,y,y,y,TRUE
P08.W68,y,y,y,TRUE
P08.W69,y,y,y,TRUE
P08.W70,y,y,y,TRUE
P08.W71,y,y,y,TRUE
P08.W72,y,y,y,TRUE
P08.W73,y,y,y,TRUE
P08.W74,y,y,y,TRUE
P08.W75,y,y,y,TRUE
P08.W76,y,y,y,TRUE
P08.W77,y,y,y,TRUE
P08.W78,y,y,y,TRUE
P08.W79,y,y,y,TRUE
P08.W80,y,a,y,FALSE
P08.W81,y,y,y,TRUE
P08.W82,y,y,a,FALSE
P08.W83,y,y,y,TRUE
P08.W84,n,a,a,FALSE
P08.W85,y,y,y,TRUE
P08.W86,y,y,y,TRUE
P08.W88,y,y,y,TRUE
P08.W89,y,y,y,TRUE
P08.W90,y,y,y,TRUE
P08.W91,y,y,y,TRUE
P08.W92,y,y,y,TRUE
P08.W93,y,y,y,TRUE
P08.W95,y,y,y,TRUE
P08.W96,y,y,y,TRUE
P09.W01,y,y,y,TRUE
P09.W03,a,a,a,TRUE
P09.W05,y,y,y,TRUE
P09.W06,y,y,y,TRUE
P09.W07,y,y,y,TRUE
P09.W08,y,y,y,TRUE
P09.W09,y,y,y,TRUE
P09.W10,y,y,a,FALSE
P09.W11,y,y,y,TRUE
P09.W12,a,a,n,FALSE
P09.W13,y,y,y,TRUE
P09.W14,y,y,y,TRUE
P09.W15,y,y,y,TRUE
P09.W16,y,y,y,TRUE
P09.W17,y,a,y,FALSE
P09.W18,y,y,y,TRUE
P09.W19,y,y,y,TRUE
P09.W20,y,y,y,TRUE
P09.W21,y,y,y,TRUE
P09.W22,y,a,y,FALSE
P09.W23,y,y,y,TRUE
P09.W24,y,y,y,TRUE
P09.W25,y,y,y,TRUE
P09.W26,y,y,y,TRUE
P09.W27,y,y,y,TRUE
P09.W28,y,y,y,TRUE
P09.W29,y,y,y,TRUE
P09.W30,a,y,y,FALSE
P09.W31,y,y,y,TRUE
P09.W32,y,y,y,TRUE
P09.W33,y,y,y,TRUE
P09.W34,y,y,y,TRUE
P09.W35,y,y,y,TRUE
P09.W36,y,y,y,TRUE
P09.W37,y,y,y,TRUE
P09.W38,y,y,y,TRUE
P09.W39,y,y,y,TRUE
P09.W40,y,y,y,TRUE
P09.W41,y,y,y,TRUE
P09.W42,y,y,y,TRUE
P09.W43,y,y,y,TRUE
P09.W44,y,y,y,TRUE
P09.W45,y,y,y,TRUE
P09.W46,y,y,y,TRUE
P09.W47,y,y,y,TRUE
P09.W48,y,y,y,TRUE
P09.W49,y,y,y,TRUE
P09.W50,y,y,y,TRUE
P09.W51,y,y,y,TRUE
P09.W52,y,y,y,TRUE
P09.W53,y,y,y,TRUE
P09.W54,y,y,y,TRUE
P09.W55,y,y,y,TRUE
P09.W56,y,y,y,TRUE
P09.W57,y,y,y,TRUE
P09.W58,y,y,y,TRUE
P09.W59,y,y,y,TRUE
P09.W60,y,y,y,TRUE
P09.W61,y,y,y,TRUE
P09.W62,y,y,y,TRUE
P09.W63,y,y,y,TRUE
P09.W64,y,y,y,TRUE
P09.W65,y,a,y,FALSE
P09.W66,y,y,y,TRUE
P09.W67,y,y,y,TRUE
P09.W68,y,y,y,TRUE
P09.W69,y,y,y,TRUE
P09.W70,y,y,y,TRUE
P09.W71,y,y,y,TRUE
P09.W72,y,y,y,TRUE
P09.W73,y,y,y,TRUE
