RAS002,test.result.1,test.result.2,test.result.3,conformity
D02_gDNA.._unkn_HPRT1,n,n,n,TRUE
D03_gDNA.._unkn_B.Globin,n,n,n,TRUE
D03_gDNA.._unkn_HPRT1,n,n,n,TRUE
D04_gDNA.._unkn_B.Globin,y,y,y,TRUE
D04_gDNA.._unkn_HPRT1,n,n,n,TRUE
D05_gDNA.._unkn_B.Globin,y,y,y,TRUE
D05_gDNA.._unkn_HPRT1,n,n,n,TRUE
D06_gDNA.._unkn_B.Globin,y,y,y,TRUE
D06_gDNA.._unkn_HPRT1,n,n,n,TRUE
D07_gDNA.._unkn_B.Globin,n,n,n,TRUE
D07_gDNA.._unkn_HPRT1,n,n,n,TRUE
D08_gDNA.._unkn_B.Globin,n,n,n,TRUE
D08_gDNA.._unkn_HPRT1,n,n,n,TRUE
D09_gDNA.._unkn_B.Globin,n,n,n,TRUE
D09_gDNA.._unkn_HPRT1,n,n,n,TRUE
D10_gDNA.._unkn_B.Globin,n,n,n,TRUE
D10_gDNA.._unkn_HPRT1,n,n,n,TRUE
D11_gDNA.._unkn_B.Globin,n,n,n,TRUE
D11_gDNA.._unkn_HPRT1,n,n,n,TRUE
D12_gDNA.._unkn_B.Globin,n,n,n,TRUE
D12_gDNA.._unkn_HPRT1,n,n,n,TRUE
E01_gDNA.._unkn_B.Globin,y,y,y,TRUE
E01_gDNA.._unkn_HPRT1,n,n,n,TRUE
E02_gDNA.._unkn_B.Globin,y,y,y,TRUE
E02_gDNA.._unkn_HPRT1,n,n,n,TRUE
E03_gDNA.._unkn_B.Globin,y,y,y,TRUE
E03_gDNA.._unkn_HPRT1,n,n,n,TRUE
E04_gDNA.._unkn_B.Globin,y,y,y,TRUE
E04_gDNA.._unkn_HPRT1,n,n,n,TRUE
E05_gDNA.._unkn_B.Globin,y,y,y,TRUE
E05_gDNA.._unkn_HPRT1,n,n,n,TRUE
E06_gDNA.._unkn_B.Globin,y,y,y,TRUE
E06_gDNA.._unkn_HPRT1,n,n,n,TRUE
E07_gDNA.._unkn_B.Globin,n,n,n,TRUE
E07_gDNA.._unkn_HPRT1,n,n,n,TRUE
E08_gDNA.._unkn_B.Globin,n,n,n,TRUE
E08_gDNA.._unkn_HPRT1,n,n,n,TRUE
E09_gDNA.._unkn_B.Globin,n,n,n,TRUE
E09_gDNA.._unkn_HPRT1,n,n,n,TRUE
E10_gDNA.._unkn_B.Globin,n,n,n,TRUE
E10_gDNA.._unkn_HPRT1,n,n,n,TRUE
E11_gDNA.._unkn_B.Globin,n,n,n,TRUE
E11_gDNA.._unkn_HPRT1,n,n,n,TRUE
E12_gDNA.._unkn_B.Globin,n,n,n,TRUE
E12_gDNA.._unkn_HPRT1,n,n,n,TRUE
F01_gDNA.._unkn_B.Globin,y,y,y,TRUE
F01_gDNA.._unkn_HPRT1,n,n,n,TRUE
F02_gDNA.._unkn_B.Globin,y,y,y,TRUE
F02_gDNA.._unkn_HPRT1,n,n,n,TRUE
F03_gDNA.._unkn_B.Globin,y,y,y,TRUE
F03_gDNA.._unkn_HPRT1,n,n,n,TRUE
F04_gDNA.._unkn_B.Globin,y,y,y,TRUE
F04_gDNA.._unkn_HPRT1,n,n,n,TRUE
F05_gDNA.._unkn_B.Globin,y,y,y,TRUE
F05_gDNA.._unkn_HPRT1,n,n,n,TRUE
F06_gDNA.._unkn_B.Globin,y,y,y,TRUE
F06_gDNA.._unkn_HPRT1,n,n,n,TRUE
F07_gDNA.._unkn_B.Globin,n,n,n,TRUE
F07_gDNA.._unkn_HPRT1,n,n,n,TRUE
F08_gDNA.._unkn_B.Globin,n,n,n,TRUE
F08_gDNA.._unkn_HPRT1,n,n,n,TRUE
F09_gDNA.._unkn_B.Globin,n,n,n,TRUE
F09_gDNA.._unkn_HPRT1,n,n,n,TRUE
F10_gDNA.._unkn_B.Globin,n,n,n,TRUE
F10_gDNA.._unkn_HPRT1,n,n,n,TRUE
F11_gDNA.._unkn_B.Globin,n,n,n,TRUE
F11_gDNA.._unkn_HPRT1,n,n,n,TRUE
F12_gDNA.._unkn_B.Globin,n,n,n,TRUE
F12_gDNA.._unkn_HPRT1,n,n,n,TRUE
G01_gDNA.._unkn_B.Globin,y,y,y,TRUE
G01_gDNA.._unkn_HPRT1,n,n,n,TRUE
G02_gDNA.._unkn_B.Globin,y,y,y,TRUE
G02_gDNA.._unkn_HPRT1,n,n,n,TRUE
G03_gDNA.._unkn_B.Globin,y,y,y,TRUE
G03_gDNA.._unkn_HPRT1,n,n,n,TRUE
G04_gDNA.._unkn_B.Globin,y,y,y,TRUE
G04_gDNA.._unkn_HPRT1,n,n,n,TRUE
G05_gDNA.._unkn_B.Globin,y,y,y,TRUE
G05_gDNA.._unkn_HPRT1,n,n,n,TRUE
G06_gDNA.._unkn_B.Globin,y,y,y,TRUE
G06_gDNA.._unkn_HPRT1,n,n,n,TRUE
G07_gDNA.._unkn_B.Globin,n,n,n,TRUE
G07_gDNA.._unkn_HPRT1,n,n,n,TRUE
G08_gDNA.._unkn_B.Globin,n,n,n,TRUE
G08_gDNA.._unkn_HPRT1,n,n,n,TRUE
G09_gDNA.._unkn_B.Globin,n,n,n,TRUE
G09_gDNA.._unkn_HPRT1,n,n,n,TRUE
G10_gDNA.._unkn_B.Globin,n,n,n,TRUE
G10_gDNA.._unkn_HPRT1,n,n,n,TRUE
G11_gDNA.._unkn_B.Globin,n,n,n,TRUE
G11_gDNA.._unkn_HPRT1,n,n,n,TRUE
G12_gDNA.._unkn_B.Globin,n,n,n,TRUE
G12_gDNA.._unkn_HPRT1,n,n,n,TRUE
H01_ntc_ntc_B.Globin,n,n,n,TRUE
H01_ntc_ntc_HPRT1,n,n,n,TRUE
H02_ntc_ntc_B.Globin,n,n,n,TRUE
H02_ntc_ntc_HPRT1,n,n,n,TRUE
H03_ntc_ntc_B.Globin,n,n,n,TRUE
H03_ntc_ntc_HPRT1,n,n,n,TRUE
H04_ntc_ntc_B.Globin,n,n,n,TRUE
H04_ntc_ntc_HPRT1,n,n,n,TRUE
H05_ntc_ntc_B.Globin,n,n,n,TRUE
H05_ntc_ntc_HPRT1,n,n,n,TRUE
H06_ntc_ntc_B.Globin,n,n,n,TRUE
H06_ntc_ntc_HPRT1,n,n,n,TRUE
H07_ntc_ntc_B.Globin,n,n,n,TRUE
H07_ntc_ntc_HPRT1,n,n,n,TRUE
H08_ntc_ntc_B.Globin,n,n,n,TRUE
H08_ntc_ntc_HPRT1,n,n,n,TRUE
H09_ntc_ntc_B.Globin,n,n,n,TRUE
H09_ntc_ntc_HPRT1,n,n,n,TRUE
H10_ntc_ntc_B.Globin,n,n,n,TRUE
H10_ntc_ntc_HPRT1,n,n,n,TRUE
H11_ntc_ntc_B.Globin,n,n,n,TRUE
H11_ntc_ntc_HPRT1,n,n,n,TRUE
H12_ntc_ntc_B.Globin,n,n,n,TRUE
H12_ntc_ntc_HPRT1,n,n,n,TRUE
