dil4reps94,test.result.1,test.result.2,test.result.3,conformity
F1500_46,y,y,y,TRUE
F1500_47,y,y,y,TRUE
F1500_48,y,y,y,TRUE
F1500_49,y,y,y,TRUE
F1500_50,y,y,y,TRUE
F1500_51,y,y,y,TRUE
F1500_52,y,y,y,TRUE
F1500_53,y,y,y,TRUE
F1500_54,y,y,y,TRUE
F1500_55,y,y,y,TRUE
F1500_56,y,y,y,TRUE
F1500_57,y,y,y,TRUE
F1500_58,y,y,y,TRUE
F1500_59,y,y,y,TRUE
F1500_60,y,y,y,TRUE
F1500_61,y,y,y,TRUE
F1500_62,y,y,y,TRUE
F1500_63,y,y,y,TRUE
F1500_64,y,y,y,TRUE
F1500_65,y,y,y,TRUE
F1500_66,y,y,y,TRUE
F1500_67,y,y,y,TRUE
F1500_68,y,y,y,TRUE
F1500_69,y,y,y,TRUE
F1500_70,y,y,y,TRUE
F1500_71,y,y,y,TRUE
F1500_72,y,y,y,TRUE
F1500_73,y,y,y,TRUE
F1500_74,y,y,y,TRUE
F1500_75,y,y,y,TRUE
F1500_76,y,y,y,TRUE
F1500_77,y,y,y,TRUE
F1500_78,y,y,y,TRUE
F1500_79,y,y,y,TRUE
F1500_80,y,y,y,TRUE
F1500_81,y,y,y,TRUE
F1500_82,y,y,y,TRUE
F1500_83,y,y,y,TRUE
F1500_84,y,y,y,TRUE
F1500_85,y,y,y,TRUE
F1500_86,y,y,y,TRUE
F1500_87,y,y,y,TRUE
F1500_88,y,y,y,TRUE
F1500_89,y,y,y,TRUE
F1500_90,y,y,y,TRUE
F1500_91,y,y,y,TRUE
F1500_92,y,y,y,TRUE
F1500_93,y,y,y,TRUE
F1500_94,y,y,y,TRUE
F15000_1,y,y,y,TRUE
F15000_2,y,y,y,TRUE
F15000_3,y,y,y,TRUE
F15000_4,y,y,y,TRUE
F15000_5,y,y,y,TRUE
F15000_6,y,y,y,TRUE
F15000_7,y,y,y,TRUE
F15000_8,y,y,y,TRUE
F15000_9,y,y,y,TRUE
F15000_10,y,y,y,TRUE
F15000_11,y,y,y,TRUE
F15000_12,y,y,y,TRUE
F15000_13,y,y,y,TRUE
F15000_14,y,y,y,TRUE
F15000_15,y,y,y,TRUE
F15000_16,y,y,y,TRUE
F15000_17,y,y,y,TRUE
F15000_18,y,y,y,TRUE
F15000_19,y,y,y,TRUE
F15000_20,y,y,y,TRUE
F15000_21,y,y,y,TRUE
F15000_22,y,y,y,TRUE
F15000_23,y,y,y,TRUE
F15000_24,y,y,y,TRUE
F15000_25,y,y,y,TRUE
F15000_26,y,y,y,TRUE
F15000_27,y,y,y,TRUE
F15000_28,y,y,y,TRUE
F15000_29,y,y,y,TRUE
F15000_30,y,y,y,TRUE
F15000_31,y,y,y,TRUE
F15000_32,y,y,y,TRUE
F15000_33,y,y,y,TRUE
F15000_34,y,y,y,TRUE
F15000_35,y,y,y,TRUE
F15000_36,y,y,y,TRUE
F15000_37,y,y,y,TRUE
F15000_38,y,y,y,TRUE
F15000_39,y,y,y,TRUE
F15000_40,y,y,y,TRUE
F15000_41,y,y,y,TRUE
F15000_42,y,y,y,TRUE
F15000_43,y,y,y,TRUE
F15000_44,y,y,y,TRUE
F15000_45,y,y,y,TRUE
F15000_46,y,y,y,TRUE
F15000_47,y,y,y,TRUE
F15000_48,y,y,y,TRUE
F15000_49,y,y,y,TRUE
F15000_50,y,y,y,TRUE
F15000_51,y,y,y,TRUE
F15000_52,y,y,y,TRUE
F15000_53,y,y,y,TRUE
F15000_54,y,y,y,TRUE
F15000_55,y,y,y,TRUE
F15000_56,y,y,y,TRUE
F15000_57,y,y,y,TRUE
F15000_58,y,y,y,TRUE
F15000_59,y,y,y,TRUE
F15000_60,y,y,y,TRUE
F15000_61,y,y,y,TRUE
F15000_62,y,y,y,TRUE
F15000_63,y,y,y,TRUE
F15000_64,y,y,y,TRUE
F15000_65,y,y,y,TRUE
F15000_66,y,y,y,TRUE
F15000_67,y,y,y,TRUE
F15000_68,y,y,y,TRUE
F15000_69,y,y,y,TRUE
F15000_70,y,y,y,TRUE
F15000_71,y,y,y,TRUE
F15000_72,y,y,y,TRUE
F15000_73,y,y,y,TRUE
F15000_74,y,y,y,TRUE
F15000_75,y,y,y,TRUE
F15000_76,y,y,y,TRUE
F15000_77,y,y,y,TRUE
F15000_78,y,y,y,TRUE
F15000_79,y,y,y,TRUE
F15000_80,y,y,y,TRUE
F15000_81,y,y,y,TRUE
F15000_82,y,y,y,TRUE
F15000_83,y,y,y,TRUE
F15000_84,y,y,y,TRUE
F15000_85,y,y,y,TRUE
F15000_86,y,y,y,TRUE
F15000_87,y,y,y,TRUE
F15000_88,y,y,y,TRUE
F15000_89,y,y,y,TRUE
F15000_90,y,y,y,TRUE
F15000_91,y,y,y,TRUE
F15000_92,y,y,y,TRUE
F15000_93,y,y,y,TRUE
F15000_94,y,y,y,TRUE
